privid,privName
215,net.sgoliver.android.permission.C2D_MESSAGE
216,android.permission.EXPAND_STATUS_BAR
217,knsoft.co.kr.bh.altemusic_academy.permission.C2D_MESSAGE
218,knsoft.co.kr.bh.altemusic_academy.permission.MAPS_RECEIVE
219,com.wCheaphotelsfinder.permission.C2D_MESSAGE
220,com.app_tp101.layout.permission.C2D_MESSAGE
221,com.android.alarm.permission.SET_ALARM
222,us.alert.permission.C2D_MESSAGE
223,com.wBalajibullions.permission.C2D_MESSAGE
224,com.usnaviguide.radar_now_classic4.permission.C2D_MESSAGE
225,android.permission.ACTION_SEND
226,android.permission.ACTION_VIEW
227,tw.com.starktech.app1999_android.permission.MAPS_RECEIVE
228,tw.com.starktech.app1999_android.permission.C2D_MESSAGE
229,com.omnipress.android.builder.idazuzbv.permission.C2D_MESSAGE
230,android.permission.ACCESS_COARSE
231,android.permission.FINE_LOCATION
232,com.loyaltyplant.partner.fordpost.permission.MAPS_RECEIVE
233,com.loyaltyplant.partner.fordpost.permission.C2D_MESSAGE
234,com.wtwoil.permission.C2D_MESSAGE
235,com.loyaltyplant.partner.ipbelugin.permission.MAPS_RECEIVE
236,com.loyaltyplant.partner.ipbelugin.permission.C2D_MESSAGE
237,com.appsvision.voyages.permission.C2D_MESSAGE
238,android.permission.START_BACKGROUND_SERVICE
239,com.verizon.vcast.apps.VCAST_APPS_LICENSE_SERVICE
240,com.conduit.app_092be1f90b824b40bd061b7a6146a5e9.app.permission.C2D_MESSAGE
241,com.conduit.app_092be1f90b824b40bd061b7a6146a5e9.app.permission.RECEIVE_ADM_MESSAGE
242,com.amazon.device.messaging.permission.RECEIVE
243,com.oneboxapps.tylerweaverjr.permission.C2D_MESSAGE
244,com.stumbleupon.android.app.permission.C2D_MESSAGE
245,com.appbuilder.u16616p571720.permission.C2D_MESSAGE
246,net.fundoma.route66.permission.C2D_MESSAGE
247,android.permission.LOCATION
248,com.mobilemediaapplications.cci.permission.C2D_MESSAGE
249,android.permission.ACCOUNT_MANAGER
250,com.google.android.apps.googlevoice.permission.SEND_SMS
251,com.google.android.apps.googlevoice.permission.RECEIVE_SMS
252,android.permission.CHANGE_WIMAX_STATE
253,android.permission.ACCESS_WIMAX_STATE
254,jp.awalker.co.iBattery.permission.C2D_MESSAGE
255,com.ijoomer.muttereralm.src.permission.MAPS_RECEIVE
256,com.ijoomer.muttereralm.src.permission.C2D_MESSAGE
257,united.kingdom.hotels.booking.london.hotel.off.scotland.northern.ireland.wales.permission.C2D_MESSAGE
258,com.skout.android.permission.C2D_MESSAGE
259,com.lifeapp01.life_01_49.permission.C2D_MESSAGE
260,android.permission.RECORD_VIDEO
261,net.webqa.westmontIL.permission.C2D_MESSAGE
262,android.permission.BATTERY_STATS
263,com.elf8000.android.cheapCalls.RECEIVE_CHEAPCALLS_BROADCAST
264,com.elf8000.android.cheapCalls.SEND_CHEAPCALLS_BROADCAST
265,com.elf8000.android.cheapCalls.permission.C2D_MESSAGE
266,android.permission.GET_PACKAGE_SIZE
267,com.wBullskinStone.permission.C2D_MESSAGE
268,com.mobbase.main.permission.MAPS_RECEIVE
269,com.wEZVRC.permission.C2D_MESSAGE
270,net.myoji_yurai.myojiChemistry.permission.C2D_MESSAGE
271,com.wTaxFreeRetirementIncomeWhereTaxesWillBeGoingThroughtheRoof.permission.C2D_MESSAGE
272,com.wHotelsinLondon.permission.C2D_MESSAGE
273,android.permission.SET_WALLPAPER_HINTS
274,com.conduit.app_73251138408f44eea3bab1eccc537296.app.permission.C2D_MESSAGE
275,com.wordbox.venezuelaRadio.permission.C2D_MESSAGE
276,com.coreapps.android.followme.mega2013.permission.C2D_MESSAGE
277,mongolia.hotels.booking.free.hotel.ulaanbaatar.erdenet.permission.C2D_MESSAGE
278,com.ieffects.leshop.permission.C2D_MESSAGE
279,org.r3pek.droiduptime.permission.FORCE_UPDATE
280,com.coreapps.android.followme.mega2014.permission.C2D_MESSAGE
281,com.bonnyriggsportsslub.permission.C2D_MESSAGE
282,android.permission.SYSTEM_OVERLAY_WINDOW
283,com.jb.gokeyboard.theme.twlabyrinthkeyboard.permission.C2D_MESSAGE
284,com.pushpinsapp.pushpins.permission.C2D_MESSAGE
285,com.firstseoul.app.permission.C2D_MESSAGE
286,android.permission.MODIFY_PHONE_STATE
287,android.permission.WRITE
288,biz.app4mobile.app_78710ac71a81407a8daf7819046ec82a.app.permission.C2D_MESSAGE
289,biz.app4mobile.app_78710ac71a81407a8daf7819046ec82a.app.permission.RECEIVE_ADM_MESSAGE
290,android.permission.AUTHENTICATE_ACCOUNTS
291,com.gorilla.chaophrayamanchester.permission.MAPS_RECEIVE
292,com.gorilla.chaophrayamanchester.permission.C2D_MESSAGE
293,com.kita.Prime93.permission.C2D_MESSAGE
294,com.kita.Prime93.permission.MAPS_RECEIVE
295,de.autobild.android.permission.C2D_MESSAGE
296,com.app_safeharbor.layout.permission.C2D_MESSAGE
297,com.android.launcher.permission.UNINSTALL_SHORTCUT
298,com.tmoney.vending.INBILLING
299,ru.loyaltyplant.partner.k2.permission.MAPS_RECEIVE
300,ru.loyaltyplant.partner.k2.permission.C2D_MESSAGE
301,com.tencent.msf.permission.account.sync
302,com.android.launcher.permission.READ_SETTINGS
303,com.tencent.permission.VIRUS_SCAN
304,com.qq.qcloud.permission.ACCESS_ALBUM_BACKUP_LIST
305,com.tencent.photos.permission.DATA
306,com.tencent.msf.permission.ACCOUNT_NOTICE
307,com.tencent.msg.permission.pushnotify
308,android.permission.USES_POLICY_FORCE_LOCK
309,com.loyaltyplant.partner.avto.permission.MAPS_RECEIVE
310,com.loyaltyplant.partner.avto.permission.C2D_MESSAGE
311,android.permission.ACCESS_CHECKIN_PROPERTIES
312,com.example.gcm.permission.C2D_MESSAGE
313,com.shopgate.android.app10833.permission.C2D_MESSAGE
314,com.conduit.app_d18b317e0faf48e9a140e0ca780e5aec.app.permission.C2D_MESSAGE
315,com.conduit.app_d18b317e0faf48e9a140e0ca780e5aec.app.permission.RECEIVE_ADM_MESSAGE
316,com.quickmobile.pga.annualmembersmeeting2013.permission.C2D_MESSAGE
317,com.igoldlive.permission.C2D_MESSAGE
318,android.permission.ACTION_HEADSET_PLUG
319,android.permission.WRITE_SECURE_SETTINGS
320,com.securenetsystems.steelfm.permission.C2D_MESSAGE
321,com.whairlossapp.permission.C2D_MESSAGE
322,android.permission.WRITE_SECURES
323,kr.co.anyline.ch_myss.permission.C2D_MESSAGE
324,com.mediascore.ckis.permission.C2D_MESSAGE
325,com.voltage.ent.g.lvpt.en.permission.C2D_MESSAGE
326,com.comfi.android.permission.C2D_MESSAGE
327,com.lincy.escorial.permission.MAPS_RECEIVE
328,com.appsproyectosdigitales.appsproyectosdigitales.permission.C2D_MESSAGE
329,com.conduit.app_074b8e9bd8774780a5e711fdcefc6d2a.app.permission.C2D_MESSAGE
330,cn.mchang.permission.JPUSH_MESSAGE
331,android.permission.RECEIVE_USER_PRESENT
332,ro.ette.taxinapoca.client.permission.C2D_MESSAGE
333,android.permission.UPDATE_DEVICE_STATS
334,android.permission.PERMISSION_NAME
335,com.gwings.se23.permission.C2D_MESSAGE
336,android.permission.ACCESS_CORSE_LOCATION
337,com.appbuilder.u381962p606671.permission.C2D_MESSAGE
338,com.bemobio.pizzarim.permission.MAPS_RECEIVE
339,com.bemobio.pizzarim.permission.C2D_MESSAGE
340,com.app_aaaassassin.layout.permission.C2D_MESSAGE
341,com.newsmobi.permission.JPUSH_MESSAGE
342,de.sparkassehanau.grimmapp.permission.MAPS_RECEIVE
343,de.sparkassehanau.grimmapp.permission.C2D_MESSAGE
344,android.permission.CALL_PRIVILEGED
345,com.scores365.permission.C2D_MESSAGE
346,com.wantoto.gomaji2.permission.C2D_MESSAGE
347,com.wFantasticGold.permission.C2D_MESSAGE
348,com.malauzai.org1810.permission.C2D_MESSAGE
349,com.nhncorp.skundeadgr.permission.NNI_MESSAGE
350,jp.naver.android.npush.permission.PUSH_MESSAGE
351,com.app0312658910.permission.C2D_MESSAGE
352,jp.co.rensa.fourpillars.updated.permission.C2D_MESSAGE
353,com.dong.hint999.permission.C2D_MESSAGE
354,com.kickanotch.ysr.permission.C2D_MESSAGE
355,au.com.redethos.cafpg.permission.C2D_MESSAGE
356,com.freelyrics.johnnycashlyrics.permission.C2D_MESSAGE
357,com.app4mob.ttcash.permission.C2D_MESSAGE
358,bn.ereader.permission.C2D_MESSAGE
359,android.permission.REBOOT
360,android.permission.DUMP
361,com.igg.castleclash_fr.permission.C2D_MESSAGE
362,app.radio98.fm.permission.C2D_MESSAGE
363,com.wbeautyapp.permission.C2D_MESSAGE
364,android.permission.PHONE_STATE
365,android.permission.BIND_APPWIDGET
366,com.android.launcher.permission.WRITE_SETTINGS
367,android.permission.HARDWARE_TEST
368,android.hardware.camera
369,de.nnn.areader.permission.C2D_MESSAGE
370,com.evesalon.permission.MAPS_RECEIVE
371,com.repairshop.main.permission.C2D_MESSAGE
372,android.permission.INSTALL_PACKAGES
373,com.appsbuilder606734.permission.C2D_MESSAGE
374,com.appsbuilder606734.permission.MAPS_RECEIVE
375,com.app_radisson.layout.permission.C2D_MESSAGE
376,com.co_mm.permission.C2D_MESSAGE
377,br.com.waytaxi.taxista.permission.C2D_MESSAGE
378,br.com.waytaxi.taxista.permission.MAPS_RECEIVE
379,android.permission.READ_PHONE_DATA
380,tw.com.cite.reader.permission.C2D_MESSAGE
381,kr.i77_cu_20.permission.C2D_MESSAGE
382,android.permission.ACCESS_DOWNLOAD_MANAGER
383,android.permission.MOUNT_FORMAT_FILESYSTEMS
384,android.permission.RECEIVE_MMS
385,com.app_oscarmike.layout.permission.C2D_MESSAGE
386,android.permission.SEND_MAIL
387,android.permission.CONTROL_LOCATION_UPDATES
388,com.jackhenry.firstnationalbankatparisar.permission.MAPS_RECEIVE
389,com.guidebook.apps.IEEEICC14.android.permission.C2D_MESSAGE
390,android.permission.REORDER_TASKS
391,com.heimavista.magicsquare.mapp034.permission.C2D_MESSAGE
392,jp.ne.atech.coinfestival.permission.C2D_MESSAGE
393,com.app_voh.layout.permission.C2D_MESSAGE
394,com.myapphone.android.espaceimmobilier.permission.C2D_MESSAGE
395,net.ays.eimsig.permission.C2D_MESSAGE
396,android.permission.WRITE_EXTERNALS_STORAGE
397,android.permission.RECEIVE_WAP_PUSH
398,com.app_nancyyanez.layout.permission.C2D_MESSAGE
399,android.permission.STATUS_BAR
400,com.app_swingers.layout.permission.C2D_MESSAGE
401,com.bubblemotion.permission.C2D_MESSAGE
402,com.ouah10.ouah_10_29_n.permission.C2D_MESSAGE
403,com.jb.gokeyboard.theme.tmetoreadorkeyboard.permission.C2D_MESSAGE
404,snss.smart.app.permission.C2D_MESSAGE
405,com.a879986248508c8fe1e10861a.a51914321a.permission.C2D_MESSAGE
406,android.permission.ACCESdS_FINE_LOCATION
407,com.app_citizen1985.layout.permission.C2D_MESSAGE
408,com.appshed.busguru.permission.C2D_MESSAGE
409,com.whaff.whaff.permission.C2D_MESSAGE
410,com.striker.gatesofcipriano.permission.C2D_MESSAGE
411,com.CrimeStoppersTulsa.android.permission.C2D_MESSAGE
412,com.bindapp.book.ais00000010485.permission.C2D_MESSAGE
413,com.google.android.c2dm.permission.REGISTER
414,com.dealdash.permission.C2D_MESSAGE
415,com.wSudokuColours.permission.C2D_MESSAGE
416,com.wManyFreeWebBuildingTools.permission.C2D_MESSAGE
417,taiwan.hotels.booking.free.hotel.taipei.tainan.kaohsiung.city.permission.C2D_MESSAGE
418,com.app_orem.layout.permission.C2D_MESSAGE
419,com.shopgate.android.app12167.permission.C2D_MESSAGE
420,com.project.TinaTurnerMusicVideos.permission.C2D_MESSAGE
421,knsoft.co.kr.jh.ghseokhwa_kids.permission.C2D_MESSAGE
422,knsoft.co.kr.jh.ghseokhwa_kids.permission.MAPS_RECEIVE
423,com.conduit.app_d9c9808e223b4d7c9aa24250b2d2e3fe.app.permission.C2D_MESSAGE
424,com.conduit.app_d9c9808e223b4d7c9aa24250b2d2e3fe.app.permission.RECEIVE_ADM_MESSAGE
425,com.wHandundFuss.permission.C2D_MESSAGE
426,ssbooks.com.bodlebook_mp3_07_kr_android_googlemarket.permission.C2D_MESSAGE
427,com.ww99CentsOnlyStores.permission.C2D_MESSAGE
428,com.securenetsystems.kmyk.permission.C2D_MESSAGE
429,prescription.discounts.permission.C2D_MESSAGE
430,com.wFacebookBusinessSoftwareV11.permission.C2D_MESSAGE
431,com.magdisplay.citadapasaule.permission.C2D_MESSAGE
432,com.myluckyday.skimania.permission.C2D_MESSAGE
433,com.myluckyday.skimania.permission.MAPS_RECEIVE
434,android.permission.BAIDU_LOCATION_SERVICE
435,16.android.permission.ACCESS_NETWORK_STATE
436,com.airplance.flight.simulator.boeing.puzzle.permission.C2D_MESSAGE
437,com.opera.GET_BRANDING
438,com.example.permission.MAPS_RECEIVE
439,com.app_tat.layout.permission.C2D_MESSAGE
440,yourpackagename.permission.MAPS_RECEIVE
441,jobrydesigns.com.larazatriad.permission.C2D_MESSAGE
442,com.wi.guiddoo.permission.MAPS_RECEIVE
443,com.warptec.RS2.permission.C2D_MESSAGE
444,jp.co.rensa.fuuka.permission.C2D_MESSAGE
445,com.a11273853725027f8c4a2ffc0a.a95758739a.permission.C2D_MESSAGE
446,com.wOneDirectionWorld.permission.C2D_MESSAGE
447,co.veam.veam31000014.permission.MAPS_RECEIVE
448,co.veam.veam31000014.permission.C2D_MESSAGE
449,com.app_q445.layout.permission.C2D_MESSAGE
450,com.mobileapploader.aid218182.permission.C2D_MESSAGE
451,com.conduit.app_fb9668e14f924ee39cd11257bcc0948d.app.permission.C2D_MESSAGE
452,com.voltage.g.kaizk_en.permission.C2D_MESSAGE
453,com.ecs.storyboard.permission.C2D_MESSAGE
454,android.permission.INTERNAL_SYSTEM_WINDOW
455,com.appsbuilder682252.permission.C2D_MESSAGE
456,com.appsbuilder682252.permission.MAPS_RECEIVE
457,com.coreapps.android.followme.ams2014.permission.C2D_MESSAGE
458,com.smartleges.lite.permission.C2D_MESSAGE
459,com.xiaomi.channel.READ_BUDDY
460,com.xiaomi.channel.WRITE_BUDDY
461,com.ak.ta.divya.bhaskar.activity.permission.C2D_MESSAGE
462,com.exsdttkj.fgha5.permission.C2D_MESSAGE
463,com.willmobile.mobilebank.chb.permission.C2D_MESSAGE
464,com.axa.axa_01_25.permission.C2D_MESSAGE
465,com.app_deborahmccrary.layout.permission.C2D_MESSAGE
466,com.cmcflex.ftmobile.permission.MAPS_RECEIVE
467,com.cmcflex.ftmobile.permission.C2D_MESSAGE
468,com.oldpoint.ACIMobile.permission.MAPS_RECEIVE
469,com.jackhenry.godough.core.permission.ACTIVITY
470,com.jackhenry.godough.core.permission.MAPS_RECEIVE
471,socialmedia.manager.permission.C2D_MESSAGE
472,com.a5515311955068ab9c4910d7a.a37110700a.permission.C2D_MESSAGE
473,com.ml.android.vdefdemo.PERMISSION
474,com.ml.android.vdeflic.PreferencesShareActivity.PERMISSION
475,com.advisorlynx.mobileadvisor.evergreen.permission.C2D_MESSAGE
476,com.appbuilder.u99212p193903.permission.C2D_MESSAGE
477,android.permission.DELETE_PACKAGES
478,android.permissions.RECEIVE_BOOT_COMPLETED
479,com.gannett.local.library.news.rgj.permission.C2D_MESSAGE
480,com.tgb.nationsatwar.permission.C2D_MESSAGE
481,com.ww3GMacAN.permission.C2D_MESSAGE
482,jp.co.rensa.healer.kasuga.permission.C2D_MESSAGE
483,com.trendyflash.eleven49east.permission.C2D_MESSAGE
484,com.w1941FrozenBlitzPhilippines.permission.C2D_MESSAGE
